pdbid,-logKd/Ki,Kd/Ki
3dxg,2.4,Ki=4.0mM
3l7b,2.4,Ki=4.01mM
4u4s,2.92,Kd=1200uM
3aru,3.22,Kd=600uM
4eky,3.52,Ki=303.0uM
3d6q,3.76,Ki=172uM
1c5z,4.01,Ki=97uM
3g2n,4.09,Ki=81uM
3f3a,4.19,Ki=64.8uM
3pxf,4.43,Kd=37uM
3syr,5.1,Ki=7.9uM
4m0z,5.19,Kd=6.4uM
4de3,5.52,Ki=3.0uM
4dli,5.62,Kd=2.40uM
3arv,5.64,Kd=2.3uM
1o5b,5.77,Ki=1.7uM
3ary,6.0,Kd=1.0uM
4x6p,8.3,Ki=5nM
3nw9,9.0,Ki=1nM
3ao4,2.07,Kd=8.5mM
3gv9,2.12,Ki=7.5mM
1uto,2.27,Kd=5.32mM
1ps3,2.28,Ki=5.2mM
4ddk,2.29,Kd=5.1mM
4jsz,2.3,Ki=5000uM
3g2z,2.36,Ki=4.4mM
3gr2,2.52,Ki=3mM
3kgp,2.57,Ki=2.68mM
3fcq,2.77,Ki=1.7mM
3lka,2.82,Kd=1.5mM
3zt2,2.84,Kd=1435uM
3udh,2.85,Kd=1.4mM
3g31,2.89,Ki=1.3mM
4llx,2.89,Ki=1300uM
4owm,2.96,Ki=1090uM
5aba,2.98,Kd=1040uM
2xdl,3.1,Kd=790uM
4kz6,3.1,Ki=0.8mM
2ymd,3.16,Kd=693uM
1bcu,3.28,Kd=0.53mM
3zsx,3.28,Kd=519uM
4ddh,3.3,Kd=0.5mM
4abg,3.57,Kd=271uM
5a7b,3.57,Kd=271uM
3dx1,3.58,Ki=265uM
4bkt,3.62,Kd=240uM
2v00,3.66,Kd=0.22mM
4cig,3.67,Kd=214uM
3n7a,3.7,Ki=200uM
2hb1,3.8,Ki=160uM
3twp,3.92,Ki=119uM
4agn,3.97,Kd=107uM
3nq9,4.03,Kd=92.6uM
2w66,4.05,Ki=89uM
3kwa,4.08,Ki=84uM
4cr9,4.1,Ki=80uM
4ih5,4.11,Kd=78uM
4de2,4.12,Ki=76.0uM
3ozt,4.13,Ki=74.9uM
1a30,4.3,Ki=50uM
3ivg,4.3,Kd=50uM
3u9q,4.38,Ki=41.7uM
3rsx,4.41,Kd=38.8uM
2wbg,4.45,Ki=35.2uM
3rr4,4.55,Ki=28.05uM
4w9c,4.65,Kd=22.2uM
3mss,4.66,Kd=22uM
4agp,4.69,Kd=20.6uM
4mgd,4.69,Kd=20.19uM
1vso,4.72,Ki=18.98uM
4jxs,4.74,Ki=18uM
1q8t,4.76,Kd=17.5uM
3acw,4.76,Ki=17.5uM
4lzs,4.8,Kd=16uM
3r88,4.82,Ki=15uM
4ciw,4.82,Ki=15.0uM
2w4x,4.85,Kd=14uM
2brb,4.86,Ki=13.7uM
1p1q,4.89,Kd=12.8uM
3d4z,4.89,Ki=13uM
1bzc,4.92,Ki=12uM
1nc3,5.0,Ki=10uM
4agq,5.01,Kd=9.7uM
4w9l,5.02,Kd=9.52uM
2yge,5.06,Kd=8.62uM
2r9w,5.1,Ki=8uM
3gy4,5.1,Kd=8uM
3zso,5.12,Kd=7.6uM
2br1,5.14,Ki=7.2uM
1s38,5.15,Ki=7.0uM
3b27,5.16,Kd=6.9uM
4gkm,5.17,Ki=6.8uM
1w4o,5.22,Ki=6uM
3ueu,5.24,Kd=5.81uM
4ih7,5.24,Kd=5.8uM
4jfs,5.27,Ki=5.4uM
3ozs,5.33,Ki=4645nM
3bv9,5.36,Ki=4.4uM
1gpk,5.37,Ki=4.3uM
1syi,5.44,Ki=3590nM
2cbv,5.48,Kd=3.3uM
1ydr,5.52,Ki=3.0uM
3coz,5.57,Kd=2.7uM
2wca,5.6,Ki=2.5uM
3u5j,5.61,Kd=2.46uM
1z9g,5.64,Ki=2.3uM
3n86,5.64,Ki=2.3uM
5c28,5.66,Ki=2.2uM
4j28,5.7,Ki=2.0uM
3jvr,5.72,Ki=1.89uM
2y5h,5.79,Ki=1620nM
3qqs,5.82,Ki=1.5uM
3wz8,5.82,Ki=1.5uM
4dld,5.82,Ki=1.5uM
3ehy,5.85,Ki=1.4uM
3uev,5.89,Kd=1.29uM
3ebp,5.91,Ki=1.24uM
1o0h,5.92,Ki=1.2uM
1q8u,5.96,Kd=1.1uM
4de1,5.96,Ki=1.1uM
4w9i,5.96,Kd=1.10uM
3coy,6.02,Kd=0.96uM
3f3c,6.02,Ki=950nM
2fxs,6.06,Kd=0.87uM
4kzq,6.1,Kd=788nM
2qnq,6.11,Ki=0.77uM
1nc1,6.12,Ki=0.75uM
2wvt,6.12,Kd=755nM
1yc1,6.17,Kd=680nM
3bgz,6.26,Ki=0.55uM
4wiv,6.26,Kd=550nM
3k5v,6.3,Kd=0.5uM
4eor,6.3,Ki=500nM
3uew,6.31,Kd=0.49uM
2wnc,6.32,Kd=479nM
2zb1,6.32,Kd=0.48uM
2qbr,6.33,Ki=0.47uM
3arq,6.4,Kd=0.4uM
2j78,6.42,Kd=384nM
4ea2,6.44,Ki=0.36uM
1r5y,6.46,Ki=0.35uM
4m0y,6.46,Kd=0.35uM
1gpn,6.48,Ki=0.334uM
2weg,6.5,Kd=314nM
4kzu,6.5,Ki=313nM
4mme,6.5,Kd=318nM
3cj4,6.51,Kd=0.31uM
3uo4,6.52,Kd=299nM
3wtj,6.53,Kd=0.297uM
3jvs,6.54,Kd=0.29uM
1k1i,6.58,Kd=264nM
2yfe,6.63,Ki=0.236uM
4k77,6.63,Ki=235nM
2xj7,6.66,Ki=220nM
2iwx,6.68,Kd=0.21uM
4f09,6.7,Ki=200nM
4djv,6.72,Ki=0.19uM
4w9h,6.73,Kd=0.185uM
4ogj,6.79,Kd=164nM
1p1n,6.8,Kd=0.16uM
3dx2,6.82,Ki=150nM
2xnb,6.83,Ki=149nM
3n76,6.85,Ki=0.14uM
3pyy,6.86,Kd=137nM
2zcr,6.87,Ki=135nM
3oe5,6.88,Ki=132nM
3jya,6.89,Ki=0.1301uM
3gbb,6.9,Ki=126nM
3uex,6.92,Kd=0.12uM
4f9w,6.94,Ki=114nM
2wer,7.05,Kd=90nM
1lpg,7.09,Ki=82nM
3zdg,7.1,Ki=79nM
1z95,7.12,Ki=76nM
1pxn,7.15,Ki=0.07uM
3arp,7.15,Kd=0.07uM
3f3d,7.16,Kd=69nM
3tsk,7.17,Kd=67nM
2j7h,7.19,Kd=65nM
2xii,7.2,Kd=63.3nM
4cra,7.22,Ki=0.06uM
4gfm,7.22,Ki=0.06uM
1oyt,7.24,Ki=0.057uM
3gc5,7.26,Ki=55nM
3p5o,7.26,Kd=55.2nM
2vvn,7.3,Kd=50nM
1qf1,7.32,Ki=48nM
1ydt,7.32,Ki=48nM
3pww,7.32,Ki=48nM
1owh,7.4,Ki=40nM
2zy1,7.4,Ki=0.04uM
3up2,7.4,Kd=40nM
4j21,7.41,Kd=39nM
2xys,7.42,Ki=38nM
2qbq,7.44,Ki=0.036uM
3oe4,7.47,Ki=34nM
3rlr,7.52,Ki=30nM
2xb8,7.59,Ki=26nM
2c3i,7.6,Kd=25nM
4e5w,7.66,Ki=22nM
3f3e,7.7,Kd=20nM
1u1b,7.8,Kd=16nM
3qgy,7.8,Ki=16nM
3ryj,7.8,Kd=16nM
4j3l,7.8,Kd=16nM
3prs,7.82,Ki=15nM
4pcs,7.85,Ki=14nM
4hge,7.92,Ki=11.9nM
1g2k,7.96,Ki=11nM
1o3f,7.96,Ki=0.011uM
2qe4,7.96,Ki=11.0nM
3uuo,7.96,Ki=11nM
3fur,8.0,Ki=10nM
2cet,8.02,Kd=9.6nM
5tmn,8.04,Ki=9.1nM
3ag9,8.05,Ki=9nM
3kr8,8.1,Kd=8nM
3nx7,8.1,Kd=7.88nM
3fv2,8.11,Ki=7.7nM
4eo8,8.15,Kd=7nM
3e5a,8.23,Ki=5.9nM
1nvq,8.25,Ki=5.6nM
2v7a,8.3,Kd=0.005uM
1h23,8.35,Ki=4.5nM
4e6q,8.36,Ki=4.4nM
2al5,8.4,Ki=4nM
2qbp,8.4,Ki=0.004uM
2zda,8.4,Ki=4nM
3b68,8.4,Ki=4nM
2xbv,8.43,Kd=3.7nM
3b1m,8.48,Ki=3.3nM
2fvd,8.52,Ki=3nM
2vw5,8.52,Kd=3nM
2wn9,8.52,Kd=3.0nM
3ejr,8.57,Ki=2.7nM
4qd6,8.64,Ki=2.3nM
3u8k,8.66,Ki=2.2nM
3ge7,8.7,Ki=2nM
4crc,8.72,Ki=0.0019uM
4ivb,8.72,Ki=1.9nM
2vkm,8.74,Ki=1.8nM
2wtv,8.74,Ki=1.8nM
3b5r,8.77,Ki=1.7nM
2zcq,8.82,Ki=1.5nM
4k18,8.96,Ki=1.1nM
2p4y,9.0,Ki=1nM
3dd0,9.0,Ki=1nM
3ui7,9.0,Ki=1nM
3uri,9.0,Ki=1nM
1qkt,9.04,Kd=0.92nM
1h22,9.1,Ki=0.8nM
3gnw,9.1,Kd=0.79nM
1sqa,9.21,Ki=0.62nM
4jia,9.22,Ki=0.6nM
3b65,9.27,Ki=0.54nM
3fv1,9.3,Ki=0.5nM
4qac,9.4,Kd=0.4nM
2yki,9.46,Kd=0.35nM
3g0w,9.52,Ki=0.3nM
4ivd,9.52,Ki=0.3nM
4ty7,9.52,Ki=0.3nM
2pog,9.54,Ki=0.29nM
4gr0,9.55,Ki=0.28nM
1eby,9.7,Ki=0.20nM
1z6e,9.72,Ki=0.19nM
4ivc,10.0,Ki=0.1nM
4twp,10.0,Ki=100pM
4rfm,10.05,Ki=90pM
1y6r,10.11,Ki=77pM
3u8n,10.17,Ki=0.067nM
4tmn,10.17,Ki=0.068nM
2p15,10.3,Kd=50pM
3myg,10.7,Kd=0.02nM
4gid,10.77,Ki=0.017nM
3utu,10.92,Ki=0.012nM
5c2h,11.09,Ki=8.2pM
1mq6,11.15,Ki=7pM
5dwr,11.22,Ki=6pM
4f2w,11.3,Ki=5.0pM
2x00,11.33,Kd=4.7pM
3o9i,11.82,Ki=1.5pM
4f3c,11.82,Ki=1.5pM
1e66,9.89,Ki=0.13nM
3e92,8.0,Ki=10nM
3e93,8.85,Ki=1.4nM
